"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.96875856401757e-13,0.281152512521233,0.33,0.306,5.28439254591915e-08,"LPS-N","RPL15P5"
2.35578765557467e-12,0.325800760586794,0.251,0.226,1.3880300866646e-07,"LPS-N","PDGFRA"
1.65818999687049e-11,0.26426280986975,0.335,0.313,9.7700554615609e-07,"LPS-N","RPSAP19"
1.81507641603351e-11,0.314753296854666,0.265,0.241,1.06944302432694e-06,"LPS-N","RPL3P9"
1.93532834003266e-11,0.27962820363613,0.316,0.293,1.14029545794724e-06,"LPS-N","RPL13AP24"
2.52248861777872e-11,0.321158685832332,0.274,0.251,1.48625029359522e-06,"LPS-N","RPL7P56"
3.29225186707629e-11,0.320261146352927,0.288,0.267,1.93979480008135e-06,"LPS-N","RPL21P110"
7.06016747089766e-11,0.289433554004026,0.39,0.374,4.1598506738529e-06,"LPS-N","RPS10P19"
1.86581425709077e-10,0.302046109055716,0.274,0.252,1.09933776027788e-05,"LPS-N","RPL3P2"
2.95357554298893e-10,0.284567009928561,0.287,0.266,1.74024670992908e-05,"LPS-N","RPL7P45"
2.29292682137716e-09,0.277957955479568,0.329,0.313,0.000135099248315542,"LPS-N","RPL13AP25"
7.89364998691525e-09,0.334449513772089,0.455,0.462,0.000465093857229046,"LPS-N","VEGFA"
7.73526458299519e-08,0.311449995010983,0.265,0.25,0.00455761789230077,"LPS-N","RPL24P8"
1.20203676711481e-07,0.287436541178152,0.266,0.25,0.00708240063184048,"LPS-N","RPL10P1"
4.79360924455411e-07,0.296334121773578,0.263,0.25,0.0282439456689128,"LPS-N","RPL32P21"
4.946648112798e-07,0.281362040532765,0.251,0.236,0.0291456506806058,"LPS-N","RPL30P4"
7.08816316810993e-07,0.25085836170639,0.421,0.418,0.0417634573865037,"LPS-N","RPL3P4"
5.65953028599495e-165,1.19518884644142,0.26,0.14,3.33459524450822e-160,"LPS-P","IL1B"
1.93256843141603e-147,0.648207845617153,0.514,0.367,1.13866931979033e-142,"LPS-P","S100A2"
