"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL13",0,0.607357756898161,0.974,0.97,0,"0","RPL13"
"RPL8",0,0.839847467512553,0.994,0.99,0,"0","RPL8"
"RPL28",0,0.706102248525658,0.965,0.968,0,"0","RPL28"
"RPL19",0,0.666054126851097,0.965,0.966,0,"0","RPL19"
"RPL11",0,0.664930564332987,0.964,0.965,0,"0","RPL11"
"EIF1",0,0.996056061624207,0.867,0.867,0,"0","EIF1"
"RPS23",0,0.809413452677914,0.893,0.893,0,"0","RPS23"
"RPL3P2",4.84197249274286e-308,1.27040286424672,0.409,0.213,2.85289019272409e-303,"0","RPL3P2"
"RPL37A",1.70987509041824e-299,0.620026527248022,0.831,0.877,1.00745840327443e-294,"0","RPL37A"
"RPL17P22",7.27262157200883e-297,1.32753401260023,0.373,0.187,4.2850286302276e-292,"0","RPL17P22"
"RPL24",9.11965173100633e-297,0.62944318956292,0.825,0.863,5.37329879990893e-292,"0","RPL24"
"RPL3P9",9.3702557080165e-294,1.25854487802556,0.396,0.205,5.52095466316332e-289,"0","RPL3P9"
"RPS27",2.22185153954668e-293,0.813587227283026,0.724,0.766,1.3091149271009e-288,"0","RPS27"
"RPL35AP32",1.87479511504375e-288,1.47234154507579,0.331,0.155,1.10462928178378e-283,"0","RPL35AP32"
"GAPDHP59",2.39693798550992e-286,1.58529744976502,0.295,0.128,1.41227586106244e-281,"0","GAPDHP59"
"NPM1P44",1.31440345477101e-280,1.62858827734674,0.279,0.117,7.7444651555108e-276,"0","NPM1P44"
"RPL37P11",3.5427361928505e-280,1.38931943817162,0.348,0.171,2.08738016482752e-275,"0","RPL37P11"
"YBX1",1.0923154756083e-278,0.599239615153285,0.809,0.798,6.4359227822841e-274,"0","YBX1"
"RPS3A",1.95836705797969e-277,0.657879427606947,0.785,0.839,1.15386987056163e-272,"0","RPS3A"
"RPS4XP13",3.69520231897838e-276,1.44902482876855,0.325,0.154,2.17721320634206e-271,"0","RPS4XP13"
"RPL12P2",1.0393114153426e-275,1.36113815982223,0.34,0.164,6.1236228591986e-271,"0","RPL12P2"
"ERO1A",2.62899009359647e-271,1.94309707763638,0.374,0.226,1.54900096314704e-266,"0","ERO1A"
"RPS8P1",2.32634690342961e-270,1.24611012125369,0.403,0.225,1.37068359550073e-265,"0","RPS8P1"
"RPL10P15",2.74815660708614e-258,1.31590911040228,0.345,0.175,1.61921387289515e-253,"0","RPL10P15"
"RPL38",1.77101233473577e-257,0.857711190119326,0.675,0.705,1.04348046762632e-252,"0","RPL38"
"RPS29P6",1.25483115244806e-254,1.30396744686082,0.348,0.178,7.393465150224e-250,"0","RPS29P6"
"RPS15AP25",4.65910300938246e-253,1.13808383759852,0.395,0.215,2.74514349312815e-248,"0","RPS15AP25"
"EEF1G",3.02954939877491e-251,0.807711217230119,0.707,0.757,1.78501050575818e-246,"0","EEF1G"
"RPS8",2.79045206900156e-246,0.388524683129194,0.979,0.981,1.64413435905572e-241,"0","RPS8"
"RPL26",4.18237108384841e-245,0.730162262043805,0.719,0.771,2.46425304260348e-240,"0","RPL26"
"VEGFA",3.97919211232397e-243,1.00728564924503,0.558,0.425,2.34453999258128e-238,"0","VEGFA"
"PDGFRA",3.67299703602478e-239,1.11271789968183,0.369,0.195,2.1641298536258e-234,"0","PDGFRA"
"RPS19P3",1.00559291127125e-238,1.29464297938025,0.35,0.187,5.92495343321022e-234,"0","RPS19P3"
"LOC124905331",4.34624346055719e-238,0.852971105411673,0.683,0.683,2.56080664696029e-233,"0","LOC124905331"
"TPT1P10",1.30759455392621e-235,1.07705278235859,0.401,0.226,7.70434711173326e-231,"0","TPT1P10"
"RPS12P22",1.77824472157681e-231,1.16080762481257,0.462,0.311,1.04774178995305e-226,"0","RPS12P22"
"UBA52P5",9.87649676026261e-230,1.1930406123184,0.349,0.185,5.81923189114673e-225,"0","UBA52P5"
"RPL7AP66",9.94432672700744e-228,1.23813855799851,0.352,0.192,5.85919730755278e-223,"0","RPL7AP66"
"RPS7P6",9.8041398988556e-223,1.32180196350732,0.304,0.152,5.77659922840572e-218,"0","RPS7P6"
"RPL23AP18",4.35655104179568e-219,1.23719509513452,0.334,0.178,2.56687987382602e-214,"0","RPL23AP18"
"RPS20P6",5.47770998669419e-219,1.14407904681878,0.367,0.205,3.22746672416021e-214,"0","RPS20P6"
"RPS6P6",8.9029077686949e-212,1.3096847161736,0.3,0.152,5.24559325731504e-207,"0","RPS6P6"
"RPL10AP2",3.947539899483e-211,1.16838430187376,0.346,0.19,2.32589050877538e-206,"0","RPL10AP2"
"HSP90B1",1.82806904176711e-209,0.780466430767846,0.723,0.787,1.07709827940918e-204,"0","HSP90B1"
"RPL32P12",5.55062568195405e-209,1.34061825886932,0.288,0.144,3.27042865180732e-204,"0","RPL32P12"
"RPLP2",1.54694934186182e-204,0.531016249697929,0.823,0.878,9.11462552224987e-200,"0","RPLP2"
"RPS23P7",7.63515741655909e-202,1.28802212383627,0.297,0.153,4.49863474983662e-197,"0","RPS23P7"
"RPL14P4",1.13677373681355e-199,1.42621691537704,0.25,0.117,6.69787085730546e-195,"0","RPL14P4"
"RPL34P16",2.21298588149001e-192,1.20450294220772,0.308,0.165,1.30389128137391e-187,"0","RPL34P16"
"RPL41P6",4.62484816087379e-189,0.925508575221724,0.414,0.254,2.72496053638683e-184,"0","RPL41P6"
"RPS10P29",1.04856382137119e-185,1.2507554084098,0.284,0.148,6.17813803551904e-181,"0","RPS10P29"
"FTH1P2",1.65347647392732e-182,1.18021951585439,0.303,0.163,9.74228338437978e-178,"0","FTH1P2"
"RPSAP28",8.93315399189226e-182,1.26690026734347,0.282,0.148,5.26341433202292e-177,"0","RPSAP28"
"RBPJ",1.01929871669212e-179,1.1342379108939,0.403,0.272,6.00570803874999e-175,"0","RBPJ"
"RPS4XP11",7.3310572176551e-178,1.29985992086962,0.265,0.135,4.31945891264238e-173,"0","RPS4XP11"
"RPS15P2",2.97525590776581e-174,0.969595237650093,0.372,0.223,1.75302078085561e-169,"0","RPS15P2"
"RPS3",2.33410523676191e-169,0.458882486272642,0.848,0.897,1.37525480550012e-164,"0","RPS3"
"RPS23P1",7.12801523723071e-169,1.26447182414648,0.261,0.135,4.19982657777633e-164,"0","RPS23P1"
"RPL7AP7",2.16313333847684e-166,1.27243163169678,0.258,0.133,1.27451816303055e-161,"0","RPL7AP7"
"RPS23P8",1.12579841335461e-165,1.19140632603376,0.385,0.264,6.63320425148538e-161,"0","RPS23P8"
"RPS25P6",6.1782437176838e-165,1.42084984465301,0.271,0.149,3.64022119845929e-160,"0","RPS25P6"
"KRTCAP2",4.57264534726409e-164,0.989786078097072,0.522,0.444,2.694202638608e-159,"0","KRTCAP2"
